Crypto,Date,Open,High,Low,Close
BTC,08/08/2019,11868,12040,11518,11616
BTC,08/07/2019,11650,12127,11230,11866
BTC,08/06/2019,11725,12307,11583,11650
BTC,08/06/2019,10943,11944,10819,11722
BTC,08/04/2019,10888,11031,10590,10943
BTC,08/03/2019,10403,10916,10368,10881
BTC,08/02/2019,10414,10662,10339,10393
BTC,08/01/2019,10029,10478,9897,10414
BTC,7/31/19,9533,10091,9530,10033
BTC,7/30/19,9516,9726,9390,9533
BTC,7/29/19,9512,9705,9124,9517
BTC,7/28/19,9444,9556,9334,9512
BTC,7/27/19,9832,10183,9330,9449
BTC,7/26/19,9875,9940,9668,9839
BTC,7/25/19,9676,10183,9667,9873
BTC,7/24/19,10145,10145,9550,9685
BTC,7/23/19,10323,10382,9884,10163
BTC,7/22/19,10504,10664,10076,10323
BTC,7/21/19,10933,11082,10335,10509
BTC,7/20/19,10519,10989,10411,10929
BTC,7/19/19,10613,10766,10166,10509
BTC,7/18/19,9692,10733,9300,10609
BTC,7/17/19,9591,9964,9083,9692
BTC,7/16/19,10805,11051,9514,9597
BTC,7/15/19,10639,10937,9906,10805
BTC,7/14/19,10908,11437,10322,10647
BTC,7/13/19,11901,11919,10856,10908
BTC,07/12/2019,11162,11908,11080,11888
BTC,07/11/2019,11777,12185,10999,11162
BTC,07/10/2019,12388,13181,11689,11805
BTC,07/09/2019,12212,12815,12125,12388
BTC,07/08/2019,11513,12280,11353,12212
BTC,07/07/2019,11472,11616,11068,11513
BTC,07/06/2019,11046,11715,10850,11478
BTC,07/05/2019,11722,11747,10801,11046
BTC,07/04/2019,11380,12057,11315,11732
BTC,07/03/2019,10730,11570,10638,11380
BTC,07/02/2019,10479,10927,9682,10775
BTC,07/01/2019,11413,11425,10018,10495
BTC,6/30/19,12162,12208,10861,11413
BTC,6/29/19,12205,12426,11386,12162
BTC,6/28/19,10680,12382,10500,12216
BTC,6/27/19,12740,13297,10333,10680
BTC,6/26/19,11380,13814,11372,12796
BTC,6/25/19,10878,11482,10868,11380
BTC,6/24/19,11063,11283,10565,10878
BTC,6/23/19,10642,11122,10401,11081
BTC,6/22/19,9938,11195,9871,10646
BTC,6/21/19,9566,9941,9491,9941
BTC,6/20/19,9174,9604,9150,9566
BTC,6/19/19,9132,9214,8962,9174
BTC,6/18/19,9283,9463,8949,9135
BTC,6/17/19,8944,9403,8937,9287
BTC,6/16/19,8800,9386,8780,8942
BTC,6/15/19,8449,8889,8449,8800
BTC,6/14/19,8263,8461,8184,8449
BTC,6/13/19,8119,8287,8076,8267
BTC,06/12/2019,7924,8256,7829,8113
BTC,06/11/2019,7945,8052,7735,7924
BTC,06/10/2019,7721,8059,7515,7945
BTC,06/09/2019,7875,7966,7620,7721
BTC,06/08/2019,7897,8064,7806,7875
BTC,06/07/2019,7692,8124,7688,7920
BTC,06/06/2019,7747,7870,7478,7692
BTC,06/05/2019,7663,7914,7470,7747
BTC,06/04/2019,8549,8553,7557,7663
BTC,06/03/2019,8687,8751,8340,8550
BTC,06/02/2019,8542,8822,8530,8681
BTC,06/01/2019,8501,8621,8458,8539
BTC,5/31/19,8455,8508,8047,8501
BTC,5/30/19,8655,9090,8413,8455
BTC,5/29/19,8701,8767,8468,8656
BTC,5/28/19,8756,8849,8579,8701
BTC,5/27/19,8622,8938,8552,8752
BTC,5/26/19,8035,8762,7891,8622
BTC,5/25/19,8110,8147,7950,8035
BTC,5/24/19,7869,8170,7800,8106
BTC,5/23/19,7834,7864,7496,7854
BTC,5/22/19,8076,8102,7712,7834
BTC,5/21/19,7984,8110,7823,8076
BTC,5/20/19,8025,8283,7591,7984
BTC,5/19/19,7294,8129,7247,8023
BTC,5/18/19,7129,7491,7129,7293
BTC,5/17/19,7749,7948,6689,7131
BTC,5/16/19,8152,8354,7747,7749
BTC,5/15/19,7722,8243,7639,8152
BTC,5/14/19,7844,8278,7638,7709
BTC,5/13/19,7162,7919,6877,7832
BTC,05/12/2019,7185,7535,6805,7163
BTC,05/11/2019,6132,6455,6131,6325
BTC,05/10/2019,6132,6455,6131,6325
BTC,05/09/2019,5989,6170,5964,6131
BTC,05/08/2019,5959,6015,5788,5989
BTC,05/07/2019,5809,6065,5793,5965
BTC,05/06/2019,5860,5880,5684,5809
BTC,05/05/2019,5798,5932,5749,5860
BTC,05/04/2019,5810,5925,5643,5786
BTC,05/03/2019,5520,5909,5483,5809
BTC,05/02/2019,5409,5539,5394,5520
BTC,05/01/2019,5351,5444,5351,5410
BTC,4/30/19,5240,5389,5209,5351
BTC,4/29/19,5237,5295,5182,5240
BTC,4/28/19,5281,5320,5226,5238
BTC,4/27/19,5189,5294,5188,5280
BTC,4/26/19,5508,5512,5034,5189
BTC,4/25/19,5449,5525,5384,5508
BTC,4/24/19,5587,5632,5390,5449
BTC,4/23/19,5381,5622,5372,5587
BTC,4/22/19,5253,5437,5247,5381
BTC,4/21/19,5326,5349,5238,5253
BTC,4/20/19,5276,5370,5263,5326
BTC,4/19/19,5314,5356,5211,5276
BTC,4/18/19,5234,5320,5219,5314
BTC,4/17/19,5197,5274,5191,5235
BTC,4/16/19,5031,5232,5016,5195
BTC,4/15/19,5102,5198,4965,5031
BTC,4/14/19,5094,5120,5037,5102
BTC,4/13/19,5053,5129,5053,5094
BTC,04/12/2019,5059,5115,4933,5052
BTC,04/11/2019,5306,5343,4987,5058
BTC,04/10/2019,5232,5466,5176,5306
BTC,04/09/2019,5267,5316,5158,5232
BTC,04/08/2019,5163,5341,5144,5265
BTC,04/07/2019,5092,5192,4935,5163
BTC,04/06/2019,5020,5248,4993,5089
BTC,04/05/2019,4863,5080,4857,5020
BTC,04/04/2019,5290,5331,4801,4863
BTC,04/03/2019,4816,5308,4805,5290
BTC,04/02/2019,4148,5062,4147,4815
BTC,04/01/2019,4119,4171,4080,4148
BTC,3/31/19,4105,4128,4103,4119
BTC,3/30/19,4103,4156,4078,4105
BTC,3/29/19,4037,4129,4034,4103
BTC,3/28/19,4033,4060,4019,4037
BTC,3/27/19,3936,4054,3933,4033
BTC,3/26/19,3910,3945,3902,3937
BTC,3/25/19,3981,4001,3889,3908
BTC,3/24/19,3997,4011,3969,3981
BTC,3/23/19,4000,4025,3985,3997
BTC,3/22/19,3997,4020,3987,4000
BTC,3/21/19,4044,4084,3956,3997
BTC,3/20/19,4027,4049,4004,4044
BTC,3/19/19,4006,4046,3986,4027
BTC,3/18/19,4010,4049,3972,4006
BTC,3/17/19,4013,4024,3972,4010
BTC,3/16/19,3933,4073,3921,4012
BTC,3/15/19,3884,3941,3881,3934
BTC,3/14/19,3885,3925,3823,3884
BTC,3/13/19,3898,3905,3861,3885
BTC,03/12/2019,3879,3911,3832,3898
BTC,03/11/2019,3931,3944,3854,3880
BTC,03/10/2019,3925,3952,3904,3931
BTC,03/09/2019,3903,3978,3806,3925
BTC,03/08/2019,3907,3944,3884,3909
BTC,03/07/2019,3879,3923,3869,3906
BTC,03/06/2019,3868,3907,3844,3878
BTC,03/05/2019,3733,3901,3716,3869
BTC,03/04/2019,3824,3839,3705,3733
BTC,03/03/2019,3843,3854,3810,3824
BTC,03/02/2019,3866,3870,3804,3843
BTC,03/01/2019,3836,3878,3819,3866
BTC,2/28/19,3781,3916,3775,3836
BTC,2/27/19,3825,3860,3704,3781
BTC,2/26/19,3844,3866,3799,3825
BTC,2/25/19,3819,3894,3763,3844
BTC,2/24/19,4142,4217,3757,3818
BTC,2/23/19,3979,4184,3949,4142
BTC,2/22/19,3935,3995,3922,3979
BTC,2/21/19,3951,4027,3908,3935
BTC,2/20/19,3920,3992,3900,3952
BTC,2/19/19,3889,4006,3870,3918
BTC,2/18/19,3623,3939,3620,3890
BTC,2/17/19,3631,3697,3596,3628
BTC,2/16/19,3599,3647,3596,3631
BTC,2/15/19,3604,3644,3582,3599
BTC,2/14/19,3601,3618,3581,3604
BTC,2/13/19,3612,3663,3592,3601
BTC,02/12/2019,3623,3649,3582,3611
BTC,02/11/2019,3635,3685,3615,3623
BTC,02/10/2019,3653,3663,3613,3635
BTC,02/09/2019,3628,3671,3622,3653
BTC,02/08/2019,3384,3738,3374,3630
BTC,02/07/2019,3394,3406,3380,3384
BTC,02/06/2019,3450,3464,3371,3394
BTC,02/05/2019,3445,3458,3424,3450
BTC,02/04/2019,3422,3461,3418,3445
BTC,02/03/2019,3462,3509,3414,3421
BTC,02/02/2019,3481,3485,3444,3462
BTC,02/01/2019,3445,3484,3407,3481
BTC,1/31/19,3463,3498,3427,3445
BTC,1/30/19,3428,3488,3400,3463
BTC,1/29/19,3442,3465,3371,3429
BTC,1/28/19,3563,3563,3402,3442
BTC,1/27/19,3583,3591,3515,3563
BTC,1/26/19,3580,3669,3572,3583
BTC,1/25/19,3596,3606,3553,3580
BTC,1/24/19,3565,3617,3549,3596
BTC,1/23/19,3594,3627,3547,3565
BTC,1/22/19,3537,3625,3447,3595
BTC,1/21/19,3555,3570,3526,3537
BTC,1/20/19,3728,3731,3506,3555
BTC,1/19/19,3634,3784,3629,3727
BTC,1/18/19,3650,3673,3605,3634
BTC,1/17/19,3623,3667,3579,3650
BTC,1/16/19,3593,3688,3593,3623
BTC,1/15/19,3693,3714,3582,3593
BTC,1/14/19,3545,3732,3526,3693
BTC,1/13/19,3656,3675,3516,3545
BTC,01/12/2019,3674,3676,3608,3655
BTC,01/11/2019,3665,3718,3624,3674
BTC,01/10/2019,4029,4067,3616,3665
BTC,01/09/2019,4034,4077,4000,4029
BTC,01/08/2019,4041,4136,4004,4034
BTC,01/07/2019,4072,4110,3997,4040
BTC,01/06/2019,3880,4072,3810,4072
BTC,01/05/2019,3878,3912,3859,3880
BTC,01/04/2019,3840,3895,3774,3878
BTC,01/03/2019,3937,3964,3813,3841
BTC,01/02/2019,3767,3943,3757,3931
BTC,01/01/2019,3722,3788,3697,3769
BTC,12/31/18,3859,3888,3697,3721
BTC,12/30/18,3963,3971,3744,3859
BTC,12/29/18,3938,3981,3864,3963
BTC,12/28/18,3626,3994,3610,3939
BTC,12/27/18,3812,3877,3613,3631
BTC,12/26/18,3827,3899,3728,3809
BTC,12/25/18,4100,4111,3728,3827
BTC,12/24/18,3993,4284,3953,4100
BTC,12/23/18,3932,4103,3885,3999
BTC,12/22/18,3893,3979,3835,3933
BTC,12/21/18,4036,4190,3822,3893
BTC,12/20/18,3704,4210,3704,4036
BTC,12/19/18,3575,3960,3563,3704
BTC,12/18/18,3536,3608,3475,3574
BTC,12/17/18,3240,3613,3220,3539
BTC,12/16/18,3236,3298,3213,3241
BTC,12/15/18,3188,3266,3156,3236
BTC,12/14/18,3285,3324,3168,3188
BTC,12/13/18,3476,3477,3261,3287
BTC,12/12/2018,3402,3521,3357,3476
BTC,12/11/2018,3441,3467,3330,3403
BTC,12/10/2018,3567,3624,3397,3441
BTC,12/09/2018,3304,3672,3285,3567
BTC,12/08/2018,3415,3503,3278,3298
BTC,12/07/2018,3628,3654,3236,3396
BTC,12/06/2018,3748,3863,3590,3628
BTC,12/05/2018,3923,3942,3698,3748
BTC,12/04/2018,3892,4062,3775,3923
BTC,12/03/2018,4174,4180,3778,3892
BTC,12/02/2018,4196,4286,4056,4179
BTC,12/01/2018,3942,4274,3911,4196
BTC,11/30/18,4207,4311,3893,3947
BTC,11/29/18,4252,4414,4116,4207
BTC,11/28/18,3797,4370,3777,4252
BTC,11/27/18,3694,3820,3606,3802
BTC,11/26/18,4080,4122,3567,3678
BTC,11/25/18,3832,4130,3522,4088
BTC,11/24/18,4292,4404,3795,3832
BTC,11/23/18,4457,4472,4135,4292
BTC,11/22/18,4483,4617,4396,4458
BTC,11/21/18,4385,4663,4249,4487
BTC,11/20/18,4820,4929,4127,4369
BTC,11/19/18,5571,5583,4733,4820
BTC,11/18/18,5517,5645,5505,5571
BTC,11/17/18,5484,5566,5455,5518
